P_CODE,VDC_NAME,DISTRICT,REGION,Hazard (Intensity),Exposure,Housing,Poverty,Vulnerability,Severity,Severity Normalized,Severity category,Severity_Category,Severity_Smoothed
C-BAG-28-057,Taruka,Nuwakot,Central,1.77,0.05,5.91,5.85,5.88,0.82,1.6893,Medium-High,Low,0.82
C-NAR-35-002,Bachhyauli,Chitawan,Central,1.25,0.11,5.38,2.53,3.96,0.82,1.685,Medium-High,Low,0.82
C-BAG-28-031,KhadagBhanjyang,Nuwakot,Central,1.49,0.06,5.91,5.85,5.88,0.82,1.6839,Medium-High,Low,0.82
C-BAG-26-010,Jhaukhel,Bhaktapur,Central,1.53,0.08,8.23,0.89,4.56,0.82,1.6838,Medium-High,Low,0.82
C-BAG-26-014,Nankhel,Bhaktapur,Central,2.15,0.06,8.23,0.89,4.56,0.82,1.6833,Medium-High,Low,0.82
W-GAN-36-007,Bakrang,Gorkha,Western,3.06,0.03,6.44,5.21,5.83,0.82,1.6829,Medium-High,Low,0.82
C-BAG-28-059,Thansing,Nuwakot,Central,1.49,0.06,5.91,5.85,5.88,0.82,1.6807,Medium-High,Low,0.82
C-BAG-24-012,Budhakhani,Kavrepalanchok,Central,2.76,0.04,6.46,3.31,4.88,0.82,1.6748,Medium-High,Low,0.82
C-NAR-31-025,Khairang,Makwanpur,Central,3.6,0.03,4.99,3.64,4.32,0.81,1.6705,Medium-High,Low,0.818
C-JAN-19-056,Lalbandi,Sarlahi,Central,0.57,0.15,4.21,8.35,6.28,0.81,1.6699,Medium-High,Low,0.8160000000000001
C-BAG-24-072,Rayalebhir,Kavrepalanchok,Central,2.5,0.04,6.46,3.31,4.88,0.81,1.6677,Medium-High,Low,0.8140000000000001
C-NAR-31-033,Nibuwatar,Makwanpur,Central,2.85,0.04,4.99,3.64,4.32,0.81,1.6677,Medium-High,Low,0.812
C-BAG-30-024,Khari,Dhading,Central,2.0,0.04,6.82,5.15,5.99,0.81,1.6667,Medium-High,Low,0.81
C-BAG-24-089,TukuchaNala,Kavrepalanchok,Central,2.18,0.05,6.46,3.31,4.88,0.81,1.6653,Medium-High,Low,0.81
C-BAG-27-042,NaikapNayaBhanjyang,Kathmandu,Central,1.23,0.08,8.86,1.82,5.34,0.81,1.6637,Medium-High,Low,0.81
C-NAR-31-005,Betini,Makwanpur,Central,3.59,0.03,4.99,3.64,4.32,0.81,1.6624,Medium-High,Low,0.81
W-GAN-36-020,Dhuwakot,Gorkha,Western,2.08,0.04,6.44,5.21,5.83,0.81,1.6598,Medium-High,Low,0.81
C-BAG-27-044,Nayapati,Kathmandu,Central,1.33,0.07,8.86,1.82,5.34,0.81,1.6596,Medium-High,Low,0.81
C-BAG-24-034,HokseBazar,Kavrepalanchok,Central,2.29,0.05,6.46,3.31,4.88,0.81,1.6588,Medium-High,Low,0.81
C-JAN-19-043,Ishworpur,Sarlahi,Central,0.39,0.22,4.21,8.35,6.28,0.81,1.6566,Medium-High,Low,0.81
C-BAG-23-077,ThuloSirubari,Sindhupalchok,Central,1.28,0.06,6.85,6.57,6.71,0.81,1.6557,Medium-High,Low,0.81
C-JAN-21-003,Bethan,Ramechhap,Central,1.67,0.05,7.16,6.06,6.61,0.81,1.6523,Medium-High,Low,0.81
C-JAN-21-039,Pakarbas,Ramechhap,Central,1.21,0.07,7.16,6.06,6.61,0.81,1.6518,Medium-High,Low,0.81
C-NAR-35-014,Gitanagar,Chitawan,Central,0.92,0.14,5.38,2.53,3.96,0.8,1.6489,Medium-High,Low,0.808
C-BAG-24-084,SimalchourSyampati,Kavrepalanchok,Central,2.71,0.04,6.46,3.31,4.88,0.8,1.6472,Medium-High,Low,0.806
C-BAG-28-027,Kakani,Nuwakot,Central,1.17,0.08,5.91,5.85,5.88,0.8,1.6434,Medium-High,Low,0.804
C-BAG-30-010,Dhola,Dhading,Central,2.08,0.04,6.82,5.15,5.99,0.8,1.6426,Medium-High,Low,0.8019999999999999
C-BAG-27-049,Satungal,Kathmandu,Central,0.9,0.11,8.86,1.82,5.34,0.8,1.6421,Medium-High,Low,0.8
C-BAG-28-011,Charghare,Nuwakot,Central,1.57,0.06,5.91,5.85,5.88,0.8,1.6418,Medium-High,Low,0.8
C-BAG-24-058,MathurapatiFulbari,Kavrepalanchok,Central,2.27,0.05,6.46,3.31,4.88,0.8,1.6341,Medium-High,Low,0.8
C-NAR-31-043,Thingan,Makwanpur,Central,2.67,0.04,4.99,3.64,4.32,0.8,1.6322,Medium-High,Low,0.8
C-BAG-24-031,Ghartichhap,Kavrepalanchok,Central,3.83,0.03,6.46,3.31,4.88,0.79,1.6287,Medium-High,Low,0.798
C-NAR-35-037,Siddi,Chitawan,Central,3.22,0.04,5.38,2.53,3.96,0.79,1.628,Medium-High,Low,0.796
C-BAG-27-055,Talkududechour,Kathmandu,Central,3.19,0.03,8.86,1.82,5.34,0.79,1.627,Medium-High,Low,0.794
W-GAN-36-062,Tanglichok,Gorkha,Western,2.48,0.03,6.44,5.21,5.83,0.79,1.6269,Medium-High,Low,0.792
C-BAG-24-043,Khanalthok,Kavrepalanchok,Central,2.11,0.05,6.46,3.31,4.88,0.79,1.6251,Medium-High,Low,0.79
C-JAN-18-045,Maisthan,Mahottari,Central,0.75,0.1,4.33,8.62,6.48,0.79,1.625,Medium-High,Low,0.79
C-BAG-23-014,Choutara,Sindhupalchok,Central,1.21,0.06,6.85,6.57,6.71,0.79,1.6231,Medium-High,Low,0.79
C-BAG-23-002,Badegau,Sindhupalchok,Central,1.33,0.05,6.85,6.57,6.71,0.79,1.617,Medium-High,Low,0.79
W-LUM-48-041,Mukundapur,Nawalparasi,Western,0.8,0.13,5.61,3.51,4.56,0.79,1.6168,Medium-High,Low,0.79
C-JAN-19-071,NarayanKhola,Sarlahi,Central,1.76,0.04,4.21,8.35,6.28,0.79,1.6164,Medium-High,Low,0.79
C-BAG-23-042,Lisankhu,Sindhupalchok,Central,1.88,0.04,6.85,6.57,6.71,0.79,1.6158,Medium-High,Low,0.79
C-BAG-27-039,Matatirtha,Kathmandu,Central,1.49,0.06,8.86,1.82,5.34,0.79,1.6154,Medium-High,Low,0.79
W-GAN-36-061,Tandrang,Gorkha,Western,1.93,0.04,6.44,5.21,5.83,0.79,1.6137,Medium-High,Low,0.79
W-GAN-36-043,Masel,Gorkha,Western,2.12,0.04,6.44,5.21,5.83,0.79,1.6116,Medium-High,Low,0.79
W-GAN-36-003,AaruChanuate,Gorkha,Western,1.87,0.04,6.44,5.21,5.83,0.79,1.6107,Medium-High,Low,0.79
C-BAG-24-060,Milche,Kavrepalanchok,Central,3.58,0.03,6.46,3.31,4.88,0.78,1.6079,Medium-High,Low,0.788
C-JAN-19-049,Kalinjor,Sarlahi,Central,1.39,0.06,4.21,8.35,6.28,0.78,1.6078,Medium-High,Low,0.786
C-BAG-28-033,KholegaunKhanigau,Nuwakot,Central,1.5,0.05,5.91,5.85,5.88,0.78,1.6072,Medium-High,Low,0.784
C-BAG-24-073,Saldhara,Kavrepalanchok,Central,3.63,0.03,6.46,3.31,4.88,0.78,1.6067,Medium-High,Low,0.782
C-BAG-30-012,Dhuwakot,Dhading,Central,1.64,0.05,6.82,5.15,5.99,0.78,1.6063,Medium-High,Low,0.78
C-BAG-25-010,Chhampi,Lalitpur,Central,2.13,0.05,8.4,0.82,4.61,0.78,1.6053,Medium-High,Low,0.78
C-JAN-21-022,GunsiBhadaure,Ramechhap,Central,1.51,0.05,7.16,6.06,6.61,0.78,1.6053,Medium-High,Low,0.78
C-JAN-20-050,Tamajor,Sindhuli,Central,3.39,0.02,5.19,6.55,5.87,0.78,1.6038,Medium-High,Low,0.78
C-BAG-28-048,Samari,Nuwakot,Central,1.49,0.05,5.91,5.85,5.88,0.78,1.6003,Medium-High,Low,0.78
C-BAG-25-002,Badikhel,Lalitpur,Central,2.81,0.04,8.4,0.82,4.61,0.78,1.5998,Medium-High,Low,0.78
C-BAG-24-013,ChalalGaneshsthan,Kavrepalanchok,Central,2.38,0.04,6.46,3.31,4.88,0.78,1.5988,Medium-High,Low,0.78
C-BAG-28-013,Chaughada,Nuwakot,Central,1.43,0.06,5.91,5.85,5.88,0.78,1.5979,Medium-High,Low,0.78
C-BAG-24-067,Patalekhet,Kavrepalanchok,Central,2.35,0.04,6.46,3.31,4.88,0.78,1.5963,Medium-High,Low,0.78
C-BAG-26-006,Chitapol,Bhaktapur,Central,1.79,0.06,8.23,0.89,4.56,0.78,1.5963,Medium-High,Low,0.78
C-NAR-31-041,SisneriMahadevsthan,Makwanpur,Central,3.27,0.03,4.99,3.64,4.32,0.78,1.5939,Medium-High,Low,0.78
C-BAG-25-037,Sidhdipur,Lalitpur,Central,1.61,0.06,8.4,0.82,4.61,0.78,1.593,Medium-High,Low,0.78
C-JAN-19-027,Dhungrekhola,Sarlahi,Central,0.54,0.14,4.21,8.35,6.28,0.78,1.5928,Medium-High,Low,0.78
C-BAG-23-017,Fatakshila,Sindhupalchok,Central,1.58,0.04,6.85,6.57,6.71,0.78,1.5898,Medium-High,Low,0.78
W-GAN-36-004,Aarupokhari,Gorkha,Western,1.7,0.05,6.44,5.21,5.83,0.77,1.5881,Medium-High,Low,0.778
C-BAG-28-022,Gerkhu,Nuwakot,Central,1.2,0.07,5.91,5.85,5.88,0.77,1.5866,Medium-High,Low,0.776
C-BAG-30-040,Salyankot,Dhading,Central,1.53,0.05,6.82,5.15,5.99,0.77,1.5857,Medium-High,Low,0.774
C-JAN-21-044,Rakathum,Ramechhap,Central,1.98,0.04,7.16,6.06,6.61,0.77,1.5838,Medium-High,Low,0.772
C-BAG-24-037,Kalati Bhumidanda,Kavrepalanchok,Central,2.53,0.04,6.46,3.31,4.88,0.77,1.5835,Medium-High,Low,0.77
C-NAR-31-036,Raigaun,Makwanpur,Central,1.0,0.11,4.99,3.64,4.32,0.77,1.5829,Medium-High,Low,0.77
C-BAG-24-083,SikharAmbote,Kavrepalanchok,Central,2.47,0.04,6.46,3.31,4.88,0.77,1.5827,Medium-High,Low,0.77
C-BAG-24-036,JyamdiMandan,Kavrepalanchok,Central,1.88,0.05,6.46,3.31,4.88,0.77,1.5809,Medium-High,Low,0.77
C-BAG-30-001,Aginchok,Dhading,Central,2.07,0.04,6.82,5.15,5.99,0.77,1.578,Medium-High,Low,0.77
C-BAG-24-038,KanpurKalapani,Kavrepalanchok,Central,2.07,0.04,6.46,3.31,4.88,0.77,1.5764,Medium-High,Low,0.77
W-GAN-36-053,Saurpani,Gorkha,Western,1.27,0.06,6.44,5.21,5.83,0.77,1.5744,Medium-High,Low,0.77
C-BAG-27-054,Suntol,Kathmandu,Central,1.71,0.05,8.86,1.82,5.34,0.77,1.574,Medium-High,Low,0.77
W-GAN-36-063,Taple,Gorkha,Western,1.68,0.05,6.44,5.21,5.83,0.77,1.5736,Medium-High,Low,0.77
W-GAN-36-002,AaruArbang,Gorkha,Western,1.67,0.05,6.44,5.21,5.83,0.77,1.5695,Medium-High,Low,0.77
C-BAG-27-046,Ramkot,Kathmandu,Central,0.93,0.09,8.86,1.82,5.34,0.76,1.5664,Medium-High,Low,0.768
C-NAR-31-027,Kulekhani,Makwanpur,Central,3.39,0.03,4.99,3.64,4.32,0.76,1.5659,Medium-High,Low,0.766
C-BAG-24-071,RaviOpi,Kavrepalanchok,Central,2.06,0.04,6.46,3.31,4.88,0.76,1.5648,Medium-High,Low,0.764
C-BAG-28-045,Ratmate,Nuwakot,Central,1.94,0.04,5.91,5.85,5.88,0.76,1.5629,Medium-High,Low,0.762
C-JAN-21-028,Khaniyapani,Ramechhap,Central,1.61,0.04,7.16,6.06,6.61,0.76,1.5625,Medium-High,Low,0.76
C-BAG-24-030,GairiBisouna Deupur,Kavrepalanchok,Central,1.6,0.06,6.46,3.31,4.88,0.76,1.5496,Medium-High,Low,0.76
C-NAR-33-068,Nijgadh,Bara,Central,0.35,0.2,4.93,7.2,6.06,0.76,1.5494,Medium-High,Low,0.76
C-BAG-25-034,Pyutar,Lalitpur,Central,4.43,0.02,8.4,0.82,4.61,0.76,1.5487,Medium-High,Low,0.76
C-BAG-27-019,Gagalphedi,Kathmandu,Central,1.42,0.06,8.86,1.82,5.34,0.76,1.5486,Medium-High,Low,0.76
C-JAN-21-006,Bhirpani,Ramechhap,Central,1.95,0.03,7.16,6.06,6.61,0.75,1.5477,Medium-High,Low,0.758
C-NAR-35-015,Gunjanagar,Chitawan,Central,0.7,0.15,5.38,2.53,3.96,0.75,1.5465,Medium-High,Low,0.756
C-BAG-28-014,Chauthe,Nuwakot,Central,2.01,0.04,5.91,5.85,5.88,0.75,1.5451,Medium-High,Low,0.7540000000000001
W-GAN-36-023,Gaikhur,Gorkha,Western,1.43,0.05,6.44,5.21,5.83,0.75,1.544,Medium-High,Low,0.752
W-GAN-36-017,Darbhung,Gorkha,Western,2.1,0.03,6.44,5.21,5.83,0.75,1.5405,Medium-High,Low,0.75
C-BAG-24-081,SarasyunKhark,Kavrepalanchok,Central,1.58,0.05,6.46,3.31,4.88,0.75,1.5353,Medium-High,Low,0.75
C-NAR-31-030,Manthali,Makwanpur,Central,3.39,0.03,4.99,3.64,4.32,0.75,1.5288,Medium-High,Low,0.75
W-GAN-36-019,Dhawa,Gorkha,Western,1.94,0.04,6.44,5.21,5.83,0.75,1.5287,Medium-High,Low,0.75
W-GAN-36-046,Nareshwor,Gorkha,Western,1.88,0.04,6.44,5.21,5.83,0.75,1.5286,Medium-High,Low,0.75
C-BAG-24-054,MahankalChaur,Kavrepalanchok,Central,2.38,0.04,6.46,3.31,4.88,0.75,1.5284,Medium-High,Low,0.75
C-BAG-23-046,Mankha,Sindhupalchok,Central,0.77,0.08,6.85,6.57,6.71,0.74,1.5274,Medium-High,Low,0.748
